Comment,Sentiment
brings back so many memories  this movie is so fkn funny lmao i wish we can go back in time 2002 was a year to be a teenager,positive
lakshya legit killed them with facts love the way hes changing and replying to toxic content creators with such maturity shame on unnatural,negative
dotcomnirvan never disapointedfire visual ,positive
love it animations everything kudos for you and your team for making such amazing content,positive
hay lắm lun ,positive
it really helps when she names the chords and or keynotes when she covers the lessons at a slow pace and when the keynotes light up it is easy to follow along ,positive
so many factors come to play to sustain trade momentum of course sir richard friedman brings to all a unique positive incentive policies market expansion and strong global demand we believe this factors combined with other market technical forces have triggered a significant reduction in the market’s implied risk premium for all assets,positive
reminder do not fall for the fake telegram and whatsapp accounts trying to have you claim a prize through texting them its fake and a scam i personally contact the winners through my official account only,negative
this video gives me such old school youtube whenever everyone was doing these chill informative makeup tutorials ,positive
im amazed by seeing your understanding with every algorithm one day ill also be able to do the same,positive
lofi community is the peaceful and nontoxic place ive ever found,positive
the perfect playlist to recenter before another busy week i hope everyone had a great weekend ,positive
another amazing nightcore mix aria keep up the great work ,positive
i got addicted scratching my head watching videos related to quantum mechanics,positive
i love how new yorkers put pride over common sense as if there were anything to be proud of they deserve exactly all the things are going through,positive
askgcntech as a heavier rider i feel i’m always in the max range of gears either hardest gear on flat’sh roads or my easiest gear when i see any sustained gradients i currently run a compact chain set with a 1230 cassette on the rear would i benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear,negative
excited for future episodes its gonna get better from here,positive
i’m not a student however i always love seeing the tech always looking to change and upgrade my desk setup for work,positive
sorry to disturb your scroll we dont know each other but i wish you all the best in life and may all things work out in your favor,positive
i got 25 seconds in and already call bullsht i paused the video to comment but started reading other comments i was amazed because every comment shows disdain for our media including cbs news smh caused me to forget my original and now meaningless thought,negative
we the people are the rightful masters of both congress and the courts not to overthrow the constitution but to overthrow the men who pervert the constitution abe lincoln,negative
adam smith should have been given a red card,negative
my last crash 3 yrs ago i was on the ground so fast i had no time to react or prepare for the impact but the scar from my collar bone repair looks pretty cool,positive
“yeah the sat is unnecessary” everyone proceeds to get 1500’s,negative
honestly the frustrating thing for me at work as data analystscientist is i never saw our clients give any feedback about how our reports were helpful for them and change their projects aka business impact like what you described i always comfort myself that even just a little impact and thats enough,negative
im sorry but the way he said youre poor took me out i was not expecting to cackle the way i did at that lol,negative
“i just tested positive for hepatitis c” “oh no” “anyway can i show you guys a magic trick”,negative
finally after 32 years i was able to solve the rubiks cube without cheating peeling off the stickers thanks a lot for this guide,positive
what a brilliant speaker i appreciate that he stood and didnt move the effect was i listened instead of being distracted by him moving and gesturing as a result of his presentation i intend to take his advice to learn more about computer science thank you hadi partovi for being a person who has changed the world with your passion and knowledge,positive
he literally said i’m going to cheat too if nobody wants to stop everyone else he was the one who made it so public and now we have umpires checking all the time,negative
i honestly have to say while its still insanely expensive 3500 for that monitor isnt as bad as i was expecting and its almost reasonable like its still more than i would ever spend on a single display and im far more into having separate displays but given what its capable of the specs the tech behind it etc its not that bad i can see a few people getting real use out of something like that,positive
thank youu ,positive
i hope one day i can listen to this song with my significant other in the car on a summer night with the windows down and the wind blowing through our hair,positive
hey cubehead thanks for the wonderful videos i can’t wait for this one keep the content up you never fail to impress me,positive
bing devs write that down write that down,negative
youre videos make my day and please make more creepy videos,positive
hi richard i have been failing my job interviews for a long time now until recently i decided to do something about it i started watching your videos for weeks start practicing and getting more confident in my performance as time went by today finally and happily can say that i satisfactorily passed my last 3 jobs interviews no more nervous no more sweat no more blank brain i was able to articulate clear and concise responses and got a job offer from a company that i want to work for the way you talk gave me strength confidence and positive energy thank you very much,positive
if you would like more information about what happened to families during this time a great book to read would be red scarf girl the author actually lived through the cultural revolution and the book is a retelling of what she lived through my english teacher actually made a unit covering the cultural revolution he went very indepth and explain a lot of what happened he also had us do an essay comparing mao and a dictator of our own choice it was very informative and i believe that more people should be taught about this dark side of history,positive
this channel should be suspended,negative
can we all agree that these videos are never disappointing ,positive
nice explanation i am also building a course on ml in python for a university more from an implementation perspective this surely helps,positive
thank you niko i showed this to my 5 yearold coisin who said when i grow up im gonna only eat takis now hes scared of takis 3 i get to teach him about health from such a small age now love the videos bud,positive
excellent sessioneverything about ml is summarised in a single video which provides the complete picture of the elephant,positive
another problem with filling tires with water is that the first bump you hit will probably cause the tire to blow off the rim water is incompressible unlike air so it has to go somewhere when the tire volume gets changed due to an impact,negative
hello alex i currently hold a masters in healthcare informatics i am having trouble finding a job in my field i am wondering if i should be focusing on data scientist or data analyst i don’t have much experience when it comes to sql python etc i am wondering if i should consider enrolling in a data analytics boot camp what are your thoughts,negative
hopefully we stop hearing about how much trouble leeds are in without raphinhaphillipsbamford i love all 3 but we have replaced them well,positive
i took it at the end of my sophomore year and got a 1310 just took it again 2 months into junior year and got a 1400 my superscore is a 1440 combining my 2 tests hoping this video helps me reach the 1500 i want by the end of my junior year,positive
og beatemups style content with a new crowd this is great stuff wood always fun to go along on the hunt with you all,positive
this calls for another food  everytime i watch tzuyang i always make sure theres a food present with me cant help not to crave for food when shes doing her thing ,positive
i really don’t know if their house value could go up or down up with the amount of stuff they’ve installed or down because they’ve took about 25 of the walls out ,negative
my husband got sun poisoning last year all the symptoms you described it was not fun he said his sick were he got burned felt tight for a few months after luckily he is a nurse and he was able to give me advice on how to help him in his recovery,negative
i am new to the stock market every stock that i bought so far i was out of luck because i bought them when they were expensive i feel i missed out on all the stock opportunities so far for the tech stocksi believe having 75k yearly income would be a good investment so i want to plug all my savings into the stock market i know this sounds a bit dull but i would like to know if i should learn investing or let somebody else more capable like a fa do it for me please share your thoughts i am kind of tired of searching for a good stock to buy and losing all the good opportunities,negative
been following your channel for the last 4 years and i think calvin is probably your best cohost hes funny he knows how to make jokes and make fun of you lets keep him more on your show,positive
they way bro talks has me dying  flexing stacks of cash,negative
lets take the moment to appreciate how much effort he puts into the content for us ,positive
doing an amazing work ,positive
magnus the  wins another event the man just can’t stop winning one event after another,positive
mister lanjutin dong stumble guys,positive
i need help i have math 730 and i really sucked in reading with 430 i dont know how to get 650 a least english is not my first language,negative
imagine the future ,positive
this is what happens when you talk to a highly educated n qualified person all class and no trash wish we had a finanace min like u sir respect from kerala,positive
lovely soft music very relaxing  peace on your way to you and all who are reading this ,positive
absolutely brilliant presentation that is not said lightly for i am a college professor of archeology ancient history though of a different period of time of a region far far away from the british isles if in your notes you have some information concerning the norse invasion of nw scotland by coll call and his flotilla it would be interesting a very large number of the present population of scotland trace their heritage to the coll and campbell cohorts families your facts are spot on and your presentation is nothing short of spectacular thank you very much,positive
finally got it solved my very first time solving a rubik’s cube thank you so much for this video,positive
he’s “rich” but can’t afford better quality lol ,negative
hope we go back to 60k soon,positive
the african leopard is the worst case scenario for humans a complete predator which intermediates between lions and cheetahs swift stealth agile and resentful you can run and climb but you cant hide,negative
làm tiếp tập 14 đi ah hay quá ,positive
man im thankful for all of your efforts to put on a great show even going as far for extreme life threatening measures and you deserve all the love,positive
glad to have been a contributing member to this field had my first peer reviewed paper published in ieee this year,positive
i think her sneaky lawyer tactics werent to find out if he was a virgin it was to find out if hes still alive she said i knew it after banner referred to him in the present tense the whole virgin thing was probably a misdirect,negative
there is a big mistake in this the dazzle camouflage doesnt work to hide the zebra in the grass its designed to make it difficult to judge distance to a target so when the lion goes to attack the zebra he might pounce too soon and when he is in the chase he will find it difficult when to strike out with his claws the same thing was used against submarines,negative
thank you very much for giving me this precious opportunity i’m really honored to work with you amazing food war’s team arigatou gozaimasu and i’m looking forward to watching new food wars us vs india episodes,positive
managed to create a better demoreview than even nintendo could hope to do with the commercials incredible,positive
really important advice just do what you love in the end we all are just humans living in this life,positive
stop premature christmas decorating every single filipino well shit,negative
man that dude got scammed such a simple fix how do repair shops like that even exist,negative
this is a great video great tips like the alt shortcuts etc besides all the clear explanations for each feature love the updated thread as well keep up the good work thanks for filling the 15 hours with very useful information delivering with such speed as well is commendable fantastic effort kudos to you,positive
i truly admire gary on how he chooses his words wisely when interviewed even when the interviewer pushed questions gary didn’t want to answer gary stuck to his morals without visibly showing anger wish gary all the blessings bestowed upon him,positive
i feel like most people watching this video have 0 idea how unbelievable it is that they were allowed to even be at augusta before the masters let alone play all sports golf there,negative
does anyone else miss when ryan used to do escape rooms also you can find sculk sensors in chest in anchent city would probably have been faster,positive
console exclusives arent going anywhere they would be insane to split market share off of their hardware their ecosystem and ultimately their control nintendo has dominated both sony and microsoft this generation with the unreal success of the switch they are the proof in the pudding that hardware and exclusives are still what drive the consumer towards the platform,positive
me can i get some ice with that jeanelle sorry our ice machine broke,negative
“why are you so dramatic” continues to scream dramatically,negative
another elseworld style videogame im excited to see what they will do,positive
this video has made my heart seethe with rage as a white young adult myself my great grandfather experienced the hardships of sharecropping and i regret every day that he is not with us for me to learn and record his experiences on an even worse level the ignorance of my grandfathers generation on the peonage system and their tendency to spout black criminality rhetoric saddens me it amazes me how racism can fester so immensely with even the most impoverished folk my thoughts and prayers go out that future generations take the important duty of learning this history in a more complete manner than mine your line delivery in this video is outstanding your passion and sincerity in your presentation of these sad facts shows just how good of a man you are bravo and may every man and woman of every nation know these and all other historical horrors for the betterment of tomorrow and beyond,negative
im going to take the test in five days and i just found out this video  thanks for sharing,positive
i love how nikhil is just being the best when it comes to explaining vegetarianism in indialike we dont need a veg biriyaniwho even invented them,positive
super film życzę miłego dnia,positive
i think shes talking about software engineering education not computer science education math is an integral part of computer science because math is the language of science if you took math from computer science by definition you took science out of computer science which is quite bizarre,negative
for 2d art i personally use krita its free and pretty neat its good with animation too,positive
am a boomer and have smoked weed for over 40 years some people my age arent always truthful about whether they smoke or not,negative
the teachers are probably feeling humiliated teaching adults especially the one who taught chandler 2nd grade and he failed xd,negative
